chargeback_id,transaction_id,reason_code,claimed_amount,claim_date,customer_reason,status
CB_000039,TXN_000256,fraudulent,5636.48,2026-06-09,Customer does not recognize transaction,open
CB_000040,TXN_000260,product_not_received,5746.37,2026-04-04,Customer claims product was not received,lost
CB_000041,TXN_000263,product_not_as_described,2549.79,2026-04-09,Customer claims product was different from description,under_review
CB_000042,TXN_000267,product_not_received,869.52,2026-07-25,Customer claims product was not received,open
CB_000043,TXN_000281,product_not_received,2018.91,2026-07-30,Customer claims product was not received,open
CB_000044,TXN_000292,fraudulent,1986.16,2026-08-29,Customer does not recognize transaction,open
CB_000045,TXN_000301,product_not_received,1114.93,2026-04-06,Customer claims product was not received,open
CB_000046,TXN_000314,fraudulent,1674.36,2026-06-28,Customer does not recognize transaction,lost
CB_000047,TXN_000322,fraudulent,3238.41,2026-07-26,Customer does not recognize transaction,won
CB_000048,TXN_000325,duplicate_transaction,1850.1,2026-09-18,Customer claims duplicate charge,lost
CB_000049,TXN_000351,fraudulent,11688.61,2026-06-26,Customer does not recognize transaction,lost
CB_000050,TXN_000353,duplicate_transaction,4476.29,2026-08-05,Customer claims duplicate charge,won
CB_000051,TXN_000356,duplicate_transaction,7436.12,2026-08-02,Customer claims duplicate charge,won
CB_000052,TXN_000369,credit_not_processed,1129.04,2026-02-07,Customer claims refund was not received,lost
CB_000053,TXN_000370,product_not_received,3789.01,2026-03-27,Customer claims product was not received,lost
CB_000054,TXN_000384,credit_not_processed,2943.61,2026-09-06,Customer claims refund was not received,open
CB_000055,TXN_000397,duplicate_transaction,1883.23,2026-08-17,Customer claims duplicate charge,open
CB_000056,TXN_000400,product_not_as_described,4675.98,2026-09-29,Customer claims product was different from description,won
CB_000057,TXN_000404,product_not_received,1344.65,2026-03-04,Customer claims product was not received,won
CB_000058,TXN_000405,duplicate_transaction,7508.99,2026-07-06,Customer claims duplicate charge,won
CB_000059,TXN_000407,product_not_received,1622.37,2026-03-24,Customer claims product was not received,won
CB_000060,TXN_000431,product_not_received,6352.49,2026-04-21,Customer claims product was not received,won
CB_000061,TXN_000432,duplicate_transaction,4246.34,2026-05-19,Customer claims duplicate charge,lost
CB_000062,TXN_000433,product_not_received,4675.73,2026-05-18,Customer claims product was not received,won
CB_000063,TXN_000435,fraudulent,4351.87,2026-05-16,Customer does not recognize transaction,lost
CB_000064,TXN_000441,credit_not_processed,5310.58,2026-02-20,Customer claims refund was not received,under_review
CB_000065,TXN_000450,product_not_as_described,2716.01,2026-03-29,Customer claims product was different from description,lost
CB_000066,TXN_000464,fraudulent,11578.17,2026-04-18,Customer does not recognize transaction,under_review
CB_000067,TXN_000465,credit_not_processed,1534.6,2026-05-17,Customer claims refund was not received,lost
CB_000068,TXN_000467,fraudulent,8444.2,2026-03-13,Customer does not recognize transaction,under_review
CB_000069,TXN_000471,duplicate_transaction,1033.41,2026-02-05,Customer claims duplicate charge,open
CB_000070,TXN_000486,product_not_as_described,1510.16,2026-06-23,Customer claims product was different from description,open
CB_000071,TXN_000488,duplicate_transaction,2241.72,2026-07-27,Customer claims duplicate charge,under_review
CB_000072,TXN_000501,duplicate_transaction,8678.01,2026-07-17,Customer claims duplicate charge,lost
CB_000073,TXN_000508,fraudulent,2605.75,2026-01-23,Customer does not recognize transaction,open
CB_000074,TXN_000519,product_not_as_described,21692.14,2026-03-26,Customer claims product was different from description,open
CB_000075,TXN_000527,fraudulent,4070.24,2026-04-22,Customer does not recognize transaction,lost
CB_000076,TXN_000528,product_not_as_described,2459.83,2026-06-04,Customer claims product was different from description,won
CB_000077,TXN_000541,duplicate_transaction,4933.18,2026-07-27,Customer claims duplicate charge,open
CB_000078,TXN_000542,credit_not_processed,2769.41,2026-07-26,Customer claims refund was not received,won
CB_000079,TXN_000544,fraudulent,7379.19,2026-07-05,Customer does not recognize transaction,under_review
CB_000080,TXN_000564,credit_not_processed,2990.52,2026-07-01,Customer claims refund was not received,open
CB_000081,TXN_000565,credit_not_processed,3893.83,2026-03-29,Customer claims refund was not received,lost
CB_000082,TXN_000572,fraudulent,2992.36,2026-03-10,Customer does not recognize transaction,lost
CB_000083,TXN_000574,product_not_as_described,2621.72,2026-08-19,Customer claims product was different from description,under_review
CB_000084,TXN_000578,credit_not_processed,1247.67,2026-05-27,Customer claims refund was not received,under_review
CB_000085,TXN_000585,duplicate_transaction,1897.65,2026-04-03,Customer claims duplicate charge,lost
CB_000086,TXN_000600,credit_not_processed,3650.26,2026-04-27,Customer claims refund was not received,under_review
CB_000087,TXN_000603,product_not_received,5652.7,2026-07-16,Customer claims product was not received,lost
CB_000088,TXN_000615,credit_not_processed,1045.57,2026-02-27,Customer claims refund was not received,lost
CB_000089,TXN_000617,fraudulent,2183.91,2026-08-08,Customer does not recognize transaction,under_review
CB_000090,TXN_000623,duplicate_transaction,5947.06,2026-07-29,Customer claims duplicate charge,under_review
CB_000091,TXN_000659,credit_not_processed,11285.97,2026-07-22,Customer claims refund was not received,open
CB_000092,TXN_000664,credit_not_processed,2996.86,2026-05-18,Customer claims refund was not received,open
CB_000093,TXN_000696,duplicate_transaction,4537.89,2026-05-11,Customer claims duplicate charge,open
CB_000094,TXN_000717,fraudulent,1767.31,2026-09-17,Customer does not recognize transaction,open
CB_000095,TXN_000725,product_not_as_described,1716.7,2026-07-14,Customer claims product was different from description,won
CB_000096,TXN_000735,duplicate_transaction,4554.68,2026-02-27,Customer claims duplicate charge,lost
CB_000097,TXN_000746,product_not_received,16901.66,2026-05-16,Customer claims product was not received,under_review
CB_000098,TXN_000761,duplicate_transaction,14082.75,2026-08-11,Customer claims duplicate charge,lost
CB_000099,TXN_000781,product_not_received,3473.01,2026-04-05,Customer claims product was not received,lost
CB_000100,TXN_000784,product_not_received,1633.04,2026-07-08,Customer claims product was not received,won
CB_000101,TXN_000791,product_not_as_described,9579.51,2026-08-13,Customer claims product was different from description,under_review
CB_000102,TXN_000812,product_not_as_described,1628.6,2026-08-05,Customer claims product was different from description,under_review
CB_000103,TXN_000818,duplicate_transaction,2493.95,2026-02-11,Customer claims duplicate charge,under_review
CB_000104,TXN_000840,product_not_received,3614.56,2026-09-07,Customer claims product was not received,won
CB_000105,TXN_000850,product_not_received,4339.88,2026-09-05,Customer claims product was not received,lost
CB_000106,TXN_000853,fraudulent,4131.69,2026-08-12,Customer does not recognize transaction,open
CB_000107,TXN_000857,product_not_received,2038.06,2026-05-15,Customer claims product was not received,lost
CB_000108,TXN_000858,duplicate_transaction,4885.4,2026-05-31,Customer claims duplicate charge,lost
CB_000109,TXN_000859,credit_not_processed,3932.61,2026-04-17,Customer claims refund was not received,under_review
CB_000110,TXN_000866,duplicate_transaction,2423.66,2026-08-14,Customer claims duplicate charge,lost
CB_000111,TXN_000871,fraudulent,2498.15,2026-06-06,Customer does not recognize transaction,lost
CB_000112,TXN_000886,fraudulent,1405.52,2026-04-09,Customer does not recognize transaction,under_review
CB_000113,TXN_000909,product_not_as_described,7394.23,2026-02-23,Customer claims product was different from description,won
CB_000114,TXN_000935,credit_not_processed,2292.57,2026-05-08,Customer claims refund was not received,lost
CB_000115,TXN_000951,fraudulent,8623.58,2026-03-30,Customer does not recognize transaction,won
CB_000116,TXN_000960,credit_not_processed,3378.33,2026-06-13,Customer claims refund was not received,won
CB_000117,TXN_000981,product_not_received,12986.52,2026-04-09,Customer claims product was not received,won
CB_000118,TXN_000985,duplicate_transaction,14127.59,2026-04-11,Customer claims duplicate charge,lost
CB_000119,TXN_000991,fraudulent,20396.12,2026-06-06,Customer does not recognize transaction,under_review
CB_000120,TXN_000997,product_not_as_described,1826.41,2026-05-19,Customer claims product was different from description,lost
CB_000121,TXN_001008,fraudulent,12514.09,2026-06-15,Customer does not recognize transaction,open
CB_000122,TXN_001013,product_not_as_described,8973.67,2026-04-17,Customer claims product was different from description,lost
CB_000123,TXN_001020,fraudulent,2125.75,2026-04-10,Customer does not recognize transaction,lost
CB_000124,TXN_001021,product_not_received,3841.54,2026-04-23,Customer claims product was not received,under_review
CB_000125,TXN_001025,product_not_received,16726.71,2026-02-21,Customer claims product was not received,open
CB_000126,TXN_001026,credit_not_processed,3063.09,2026-06-04,Customer claims refund was not received,open
CB_000127,TXN_001027,fraudulent,2007.24,2026-02-20,Customer does not recognize transaction,lost
CB_000128,TXN_001039,credit_not_processed,3604.41,2026-09-12,Customer claims refund was not received,won
CB_000129,TXN_001056,fraudulent,2594.13,2026-06-09,Customer does not recognize transaction,won
CB_000130,TXN_001062,fraudulent,13504.99,2026-06-25,Customer does not recognize transaction,won
CB_000131,TXN_001066,product_not_as_described,1271.44,2026-05-27,Customer claims product was different from description,under_review
CB_000132,TXN_001087,credit_not_processed,3733.04,2026-08-08,Customer claims refund was not received,open
CB_000133,TXN_001094,duplicate_transaction,2419.71,2026-03-31,Customer claims duplicate charge,open
CB_000134,TXN_001100,product_not_received,4117.23,2026-08-11,Customer claims product was not received,under_review
CB_000135,TXN_001127,product_not_received,5159.97,2026-05-07,Customer claims product was not received,won
CB_000136,TXN_001133,product_not_as_described,3283.5,2026-04-30,Customer claims product was different from description,open
CB_000137,TXN_001135,product_not_received,2416.19,2026-09-11,Customer claims product was not received,won
CB_000138,TXN_001145,duplicate_transaction,4971.35,2026-03-13,Customer claims duplicate charge,under_review
CB_000139,TXN_001166,fraudulent,26060.16,2026-03-29,Customer does not recognize transaction,won
CB_000140,TXN_001174,fraudulent,18951.0,2026-04-17,Customer does not recognize transaction,lost
CB_000141,TXN_001175,product_not_received,7619.05,2026-04-10,Customer claims product was not received,under_review
CB_000142,TXN_001176,duplicate_transaction,747.46,2026-04-01,Customer claims duplicate charge,won
CB_000143,TXN_001178,product_not_as_described,6207.52,2026-01-27,Customer claims product was different from description,under_review
CB_000144,TXN_001180,product_not_received,7554.09,2026-04-19,Customer claims product was not received,open
CB_000145,TXN_001182,fraudulent,14997.54,2026-04-14,Customer does not recognize transaction,lost
CB_000146,TXN_001185,product_not_received,14705.42,2026-04-26,Customer claims product was not received,lost
CB_000147,TXN_001194,fraudulent,5127.79,2026-04-03,Customer does not recognize transaction,lost
CB_000148,TXN_001199,product_not_received,2369.33,2026-06-29,Customer claims product was not received,won
CB_000149,TXN_001200,duplicate_transaction,3399.46,2026-02-26,Customer claims duplicate charge,lost
CB_000150,TXN_001207,product_not_received,1964.61,2026-05-30,Customer claims product was not received,won
CB_000151,TXN_001253,duplicate_transaction,3222.74,2026-05-04,Customer claims duplicate charge,lost
CB_000152,TXN_001256,product_not_as_described,3583.44,2026-08-01,Customer claims product was different from description,open
CB_000153,TXN_001262,product_not_received,3883.51,2026-02-25,Customer claims product was not received,won
CB_000154,TXN_001266,credit_not_processed,2588.49,2026-04-16,Customer claims refund was not received,won
CB_000155,TXN_001269,duplicate_transaction,6053.26,2026-07-17,Customer claims duplicate charge,under_review
CB_000156,TXN_001271,product_not_as_described,3200.54,2026-05-07,Customer claims product was different from description,lost
CB_000157,TXN_001274,product_not_received,7014.03,2026-07-23,Customer claims product was not received,under_review
CB_000158,TXN_001280,credit_not_processed,1912.74,2026-03-12,Customer claims refund was not received,won
CB_000159,TXN_001294,fraudulent,6260.08,2026-04-12,Customer does not recognize transaction,won
CB_000160,TXN_001323,fraudulent,3885.09,2026-05-26,Customer does not recognize transaction,open
CB_000161,TXN_001328,fraudulent,8206.09,2026-07-28,Customer does not recognize transaction,lost
CB_000162,TXN_001331,credit_not_processed,4122.33,2026-09-05,Customer claims refund was not received,open
CB_000163,TXN_001333,fraudulent,3105.72,2026-05-25,Customer does not recognize transaction,won
CB_000164,TXN_001341,product_not_as_described,2678.02,2026-05-12,Customer claims product was different from description,lost
CB_000165,TXN_001349,product_not_as_described,1269.5,2026-06-07,Customer claims product was different from description,open
CB_000166,TXN_001381,duplicate_transaction,2658.19,2026-08-07,Customer claims duplicate charge,won
CB_000167,TXN_001382,product_not_as_described,3209.75,2026-06-06,Customer claims product was different from description,under_review
CB_000168,TXN_001395,duplicate_transaction,2754.04,2026-03-22,Customer claims duplicate charge,under_review
CB_000169,TXN_001399,product_not_as_described,1289.5,2026-04-09,Customer claims product was different from description,won
CB_000170,TXN_001402,credit_not_processed,4037.23,2026-03-03,Customer claims refund was not received,lost
CB_000171,TXN_001404,product_not_received,1353.24,2026-04-07,Customer claims product was not received,won
CB_000172,TXN_001407,credit_not_processed,3551.83,2026-03-13,Customer claims refund was not received,won
CB_000173,TXN_001411,duplicate_transaction,1900.02,2026-08-06,Customer claims duplicate charge,won
CB_000174,TXN_001423,credit_not_processed,1893.59,2026-08-20,Customer claims refund was not received,lost
CB_000175,TXN_001425,credit_not_processed,4840.18,2026-06-27,Customer claims refund was not received,open
CB_000176,TXN_001426,product_not_received,11155.25,2026-05-20,Customer claims product was not received,lost
CB_000177,TXN_001431,product_not_received,3600.46,2026-03-10,Customer claims product was not received,won
CB_000178,TXN_001432,duplicate_transaction,4694.79,2026-03-29,Customer claims duplicate charge,lost
CB_000179,TXN_001443,credit_not_processed,788.81,2026-06-05,Customer claims refund was not received,under_review
CB_000180,TXN_001450,product_not_as_described,1087.69,2026-06-19,Customer claims product was different from description,won
CB_000181,TXN_001454,duplicate_transaction,454.78,2026-07-03,Customer claims duplicate charge,open
CB_000182,TXN_001458,fraudulent,12584.27,2026-06-20,Customer does not recognize transaction,under_review
CB_000183,TXN_001462,product_not_received,7534.05,2026-09-20,Customer claims product was not received,won
CB_000184,TXN_001465,fraudulent,1860.05,2026-01-30,Customer does not recognize transaction,under_review
CB_000185,TXN_001474,product_not_as_described,4113.81,2026-03-30,Customer claims product was different from description,under_review
CB_000186,TXN_001477,product_not_received,3168.93,2026-04-22,Customer claims product was not received,under_review
CB_000187,TXN_001483,product_not_as_described,3788.83,2026-05-01,Customer claims product was different from description,lost
CB_000188,TXN_001488,duplicate_transaction,5629.39,2026-06-03,Customer claims duplicate charge,open
CB_000189,TXN_001491,product_not_received,2586.33,2026-01-28,Customer claims product was not received,under_review
CB_000190,TXN_001506,fraudulent,1093.62,2026-06-20,Customer does not recognize transaction,under_review
CB_000191,TXN_001514,product_not_received,6594.31,2026-04-01,Customer claims product was not received,open
CB_000192,TXN_001539,product_not_as_described,3944.75,2026-09-08,Customer claims product was different from description,won
CB_000193,TXN_001540,product_not_as_described,3603.5,2026-04-19,Customer claims product was different from description,won
CB_000194,TXN_001545,product_not_as_described,2122.29,2026-06-26,Customer claims product was different from description,under_review
CB_000195,TXN_001589,product_not_as_described,3279.72,2026-07-05,Customer claims product was different from description,under_review
CB_000196,TXN_001594,product_not_as_described,2574.96,2026-02-14,Customer claims product was different from description,lost
CB_000197,TXN_001597,fraudulent,2511.58,2026-04-01,Customer does not recognize transaction,under_review
CB_000198,TXN_001645,product_not_as_described,8584.41,2026-08-02,Customer claims product was different from description,under_review
CB_000199,TXN_001672,duplicate_transaction,4117.34,2026-03-15,Customer claims duplicate charge,open
CB_000200,TXN_001687,product_not_received,3362.84,2026-05-27,Customer claims product was not received,under_review
CB_000201,TXN_001694,product_not_as_described,1930.42,2026-01-30,Customer claims product was different from description,under_review
CB_000202,TXN_001704,product_not_received,3233.5,2026-04-27,Customer claims product was not received,under_review
CB_000203,TXN_001705,credit_not_processed,1159.49,2026-05-14,Customer claims refund was not received,lost
CB_000204,TXN_001713,product_not_as_described,3644.89,2026-07-27,Customer claims product was different from description,won
CB_000205,TXN_001718,product_not_received,8569.42,2026-07-22,Customer claims product was not received,open
CB_000206,TXN_001722,fraudulent,1974.71,2026-01-08,Customer does not recognize transaction,under_review
CB_000207,TXN_001741,duplicate_transaction,8664.09,2026-04-30,Customer claims duplicate charge,open
CB_000208,TXN_001743,credit_not_processed,2387.02,2026-03-28,Customer claims refund was not received,under_review
CB_000209,TXN_001749,product_not_received,1789.87,2026-08-07,Customer claims product was not received,open
CB_000210,TXN_001753,product_not_received,1144.78,2026-04-03,Customer claims product was not received,under_review
CB_000211,TXN_001755,fraudulent,1786.11,2026-04-27,Customer does not recognize transaction,lost
CB_000212,TXN_001773,product_not_as_described,14974.16,2026-04-08,Customer claims product was different from description,open
CB_000213,TXN_001791,product_not_as_described,2016.97,2026-06-09,Customer claims product was different from description,open
CB_000214,TXN_001809,duplicate_transaction,10965.97,2026-08-15,Customer claims duplicate charge,under_review
CB_000215,TXN_001815,duplicate_transaction,2038.78,2026-08-21,Customer claims duplicate charge,open
CB_000216,TXN_001822,product_not_as_described,1038.16,2026-07-26,Customer claims product was different from description,under_review
CB_000217,TXN_001824,fraudulent,490.35,2026-08-17,Customer does not recognize transaction,under_review
CB_000218,TXN_001828,credit_not_processed,3421.85,2026-08-05,Customer claims refund was not received,open
CB_000219,TXN_001872,credit_not_processed,4770.24,2026-08-03,Customer claims refund was not received,won
CB_000220,TXN_001881,credit_not_processed,5470.0,2026-03-20,Customer claims refund was not received,under_review
CB_000221,TXN_001884,credit_not_processed,1650.68,2026-07-13,Customer claims refund was not received,under_review
CB_000222,TXN_001888,fraudulent,1684.23,2026-08-22,Customer does not recognize transaction,won
CB_000223,TXN_001892,credit_not_processed,2723.84,2026-02-13,Customer claims refund was not received,won
CB_000224,TXN_001896,product_not_received,820.19,2026-07-02,Customer claims product was not received,open
CB_000225,TXN_001899,product_not_as_described,14411.27,2026-04-19,Customer claims product was different from description,won
CB_000226,TXN_001901,duplicate_transaction,1700.19,2026-02-08,Customer claims duplicate charge,won
CB_000227,TXN_001902,fraudulent,3133.45,2026-06-25,Customer does not recognize transaction,lost
CB_000228,TXN_001905,credit_not_processed,2489.61,2026-08-19,Customer claims refund was not received,under_review
CB_000229,TXN_001911,fraudulent,1643.63,2026-03-22,Customer does not recognize transaction,open
CB_000230,TXN_001918,product_not_as_described,2321.79,2026-06-02,Customer claims product was different from description,lost
CB_000231,TXN_001925,duplicate_transaction,13131.09,2026-09-14,Customer claims duplicate charge,under_review
CB_000232,TXN_001930,fraudulent,2835.89,2026-06-12,Customer does not recognize transaction,lost
CB_000233,TXN_001935,credit_not_processed,3887.02,2026-02-09,Customer claims refund was not received,open
CB_000234,TXN_001936,product_not_received,5050.58,2026-05-05,Customer claims product was not received,won
CB_000235,TXN_001941,fraudulent,4696.78,2026-03-30,Customer does not recognize transaction,open
CB_000236,TXN_001942,product_not_as_described,1424.56,2026-03-24,Customer claims product was different from description,lost
CB_000237,TXN_001943,duplicate_transaction,4413.13,2026-04-18,Customer claims duplicate charge,open
CB_000238,TXN_001944,product_not_received,3121.67,2026-05-19,Customer claims product was not received,under_review
CB_000239,TXN_001951,fraudulent,1749.03,2026-08-15,Customer does not recognize transaction,open
CB_000240,TXN_001961,duplicate_transaction,6453.98,2026-06-04,Customer claims duplicate charge,lost
CB_000241,TXN_001965,fraudulent,1124.57,2026-01-24,Customer does not recognize transaction,won
CB_000242,TXN_001966,duplicate_transaction,2202.36,2026-07-12,Customer claims duplicate charge,under_review
CB_000243,TXN_001979,duplicate_transaction,4749.52,2026-04-15,Customer claims duplicate charge,under_review
CB_000244,TXN_002025,fraudulent,2388.47,2026-02-16,Customer does not recognize transaction,lost
CB_000245,TXN_002037,product_not_as_described,1714.19,2026-04-02,Customer claims product was different from description,lost
CB_000246,TXN_002046,product_not_received,3189.42,2026-05-09,Customer claims product was not received,lost
CB_000247,TXN_002050,fraudulent,2684.26,2026-05-23,Customer does not recognize transaction,lost
CB_000248,TXN_002068,product_not_received,1650.1,2026-05-30,Customer claims product was not received,under_review
CB_000249,TXN_002098,product_not_as_described,3557.01,2026-07-07,Customer claims product was different from description,lost
CB_000250,TXN_002132,product_not_received,3060.51,2026-02-23,Customer claims product was not received,lost
CB_000251,TXN_002134,credit_not_processed,1759.97,2026-07-13,Customer claims refund was not received,won
CB_000252,TXN_002137,product_not_as_described,3577.38,2026-08-06,Customer claims product was different from description,open
CB_000253,TXN_002141,duplicate_transaction,2430.13,2026-03-20,Customer claims duplicate charge,under_review
CB_000254,TXN_002142,product_not_received,1472.46,2026-08-04,Customer claims product was not received,won
CB_000255,TXN_002144,product_not_as_described,7392.31,2026-09-16,Customer claims product was different from description,lost
CB_000256,TXN_002149,product_not_received,1334.19,2026-06-05,Customer claims product was not received,lost
CB_000257,TXN_002159,credit_not_processed,2898.08,2026-08-07,Customer claims refund was not received,open
CB_000258,TXN_002160,credit_not_processed,4162.84,2026-01-27,Customer claims refund was not received,won
CB_000259,TXN_002162,duplicate_transaction,874.93,2026-03-28,Customer claims duplicate charge,under_review
CB_000260,TXN_002164,duplicate_transaction,5482.19,2026-02-04,Customer claims duplicate charge,lost
CB_000261,TXN_002179,product_not_as_described,6759.27,2026-06-07,Customer claims product was different from description,open
CB_000262,TXN_002187,fraudulent,5765.53,2026-08-06,Customer does not recognize transaction,under_review
CB_000263,TXN_002203,duplicate_transaction,4152.62,2026-07-13,Customer claims duplicate charge,under_review
CB_000264,TXN_002231,product_not_as_described,1474.66,2026-06-14,Customer claims product was different from description,open
CB_000265,TXN_002232,fraudulent,3745.91,2026-08-19,Customer does not recognize transaction,lost
CB_000266,TXN_002233,duplicate_transaction,2665.53,2026-08-04,Customer claims duplicate charge,won
CB_000267,TXN_002238,product_not_as_described,26894.23,2026-08-16,Customer claims product was different from description,lost
CB_000268,TXN_002249,product_not_received,2814.81,2026-05-09,Customer claims product was not received,won
CB_000269,TXN_002260,product_not_as_described,1377.8,2026-07-10,Customer claims product was different from description,won
CB_000270,TXN_002264,product_not_received,3121.52,2026-04-30,Customer claims product was not received,open
CB_000271,TXN_002265,product_not_as_described,4155.11,2026-03-28,Customer claims product was different from description,lost
CB_000272,TXN_002274,duplicate_transaction,8525.41,2026-09-06,Customer claims duplicate charge,won
CB_000273,TXN_002280,product_not_as_described,2316.17,2026-09-03,Customer claims product was different from description,under_review
CB_000274,TXN_002302,credit_not_processed,302.01,2026-03-15,Customer claims refund was not received,under_review
CB_000275,TXN_002320,duplicate_transaction,20445.59,2026-05-28,Customer claims duplicate charge,open
CB_000276,TXN_002330,product_not_as_described,5672.95,2026-09-11,Customer claims product was different from description,under_review
CB_000277,TXN_002333,product_not_as_described,3739.14,2026-07-12,Customer claims product was different from description,won
CB_000278,TXN_002335,duplicate_transaction,1560.72,2026-03-21,Customer claims duplicate charge,open
CB_000279,TXN_002352,fraudulent,4339.9,2026-07-22,Customer does not recognize transaction,under_review
CB_000280,TXN_002363,product_not_as_described,7467.71,2026-06-08,Customer claims product was different from description,lost
CB_000281,TXN_002373,product_not_received,2270.39,2026-07-20,Customer claims product was not received,lost
CB_000282,TXN_002389,product_not_as_described,819.22,2026-03-31,Customer claims product was different from description,lost
CB_000283,TXN_002396,product_not_as_described,5332.99,2026-05-29,Customer claims product was different from description,lost
CB_000284,TXN_002397,fraudulent,3789.72,2026-08-13,Customer does not recognize transaction,lost
CB_000285,TXN_002405,product_not_as_described,1818.78,2026-03-28,Customer claims product was different from description,under_review
CB_000286,TXN_002407,product_not_as_described,3832.22,2026-01-28,Customer claims product was different from description,lost
CB_000287,TXN_002413,fraudulent,4805.76,2026-08-15,Customer does not recognize transaction,under_review
CB_000288,TXN_002414,credit_not_processed,6293.72,2026-08-08,Customer claims refund was not received,open
CB_000289,TXN_002423,fraudulent,10705.24,2026-05-24,Customer does not recognize transaction,under_review
CB_000290,TXN_002431,credit_not_processed,1978.68,2026-03-12,Customer claims refund was not received,lost
CB_000291,TXN_002435,fraudulent,12000.71,2026-03-27,Customer does not recognize transaction,lost
CB_000292,TXN_002447,duplicate_transaction,1939.79,2026-03-18,Customer claims duplicate charge,won
CB_000293,TXN_002449,duplicate_transaction,3864.38,2026-07-21,Customer claims duplicate charge,open
CB_000294,TXN_002468,credit_not_processed,13741.58,2026-07-25,Customer claims refund was not received,won
CB_000295,TXN_002487,product_not_received,7483.62,2026-08-07,Customer claims product was not received,lost
CB_000296,TXN_002488,duplicate_transaction,3026.81,2026-02-13,Customer claims duplicate charge,lost
CB_000297,TXN_002505,product_not_received,1799.81,2026-02-02,Customer claims product was not received,won
CB_000298,TXN_002510,product_not_as_described,13292.77,2026-05-07,Customer claims product was different from description,under_review
CB_000299,TXN_002516,duplicate_transaction,3830.88,2026-05-17,Customer claims duplicate charge,lost
CB_000300,TXN_002526,product_not_as_described,6458.21,2026-01-27,Customer claims product was different from description,under_review
