transaction_id,customer_id,amount,payment_method,device_id,ip_country,transaction_time,authentication_status,previous_transactions
TXN_000131,CUST_00616,2383.37,upi,DEV_02559,IN,2026-07-03,success,23
TXN_000132,CUST_01920,1504.71,netbanking,DEV_01120,IN,2026-05-26,failed,48
TXN_000133,CUST_01380,7730.03,wallet,DEV_00860,GB,2026-07-23,success,34
TXN_000134,CUST_00952,695.92,netbanking,DEV_02068,GB,2026-04-21,success,4
TXN_000135,CUST_01546,3467.32,upi,DEV_01698,AE,2026-03-06,failed,37
TXN_000136,CUST_01583,3271.86,upi,DEV_00077,SG,2026-08-09,success,29
TXN_000137,CUST_01244,1120.49,wallet,DEV_00873,AE,2026-03-10,failed,11
TXN_000138,CUST_01616,2840.81,card,DEV_02140,US,2026-04-04,failed,44
TXN_000139,CUST_01167,1661.78,upi,DEV_00985,US,2026-07-11,success,46
TXN_000140,CUST_01731,3969.9,wallet,DEV_01681,GB,2026-08-09,success,41
TXN_000141,CUST_01373,1446.08,upi,DEV_01690,GB,2026-07-30,success,10
TXN_000142,CUST_00858,2372.54,upi,DEV_01051,SG,2026-03-02,failed,46
TXN_000143,CUST_01855,1951.76,upi,DEV_00466,US,2026-02-19,success,32
TXN_000144,CUST_00109,1619.64,upi,DEV_01272,AE,2026-05-05,failed,48
TXN_000145,CUST_00978,482.35,wallet,DEV_02650,IN,2026-02-21,success,5
TXN_000146,CUST_00670,3834.78,netbanking,DEV_00559,IN,2026-03-08,success,28
TXN_000147,CUST_01403,4185.77,upi,DEV_02640,IN,2026-07-04,failed,17
TXN_000148,CUST_00181,2631.81,card,DEV_00227,IN,2026-03-22,success,14
TXN_000149,CUST_00970,4100.62,card,DEV_01668,GB,2026-06-21,success,4
TXN_000150,CUST_01191,14407.13,wallet,DEV_02967,US,2026-03-02,success,32
TXN_000151,CUST_01184,4460.08,card,DEV_02138,SG,2026-07-18,success,25
TXN_000152,CUST_00914,674.14,wallet,DEV_00370,US,2026-06-03,success,35
TXN_000153,CUST_01689,1100.87,netbanking,DEV_01349,SG,2026-07-08,failed,12
TXN_000154,CUST_00673,8301.83,upi,DEV_01733,US,2026-02-06,success,9
TXN_000155,CUST_00197,4545.47,upi,DEV_00877,GB,2026-04-23,failed,16
TXN_000156,CUST_00500,1701.48,netbanking,DEV_02415,IN,2026-05-06,success,9
TXN_000157,CUST_01721,6101.16,card,DEV_01297,SG,2026-04-19,failed,47
TXN_000158,CUST_01763,2051.32,upi,DEV_01138,US,2026-04-03,failed,50
TXN_000159,CUST_01441,1229.06,netbanking,DEV_01263,IN,2026-06-15,success,37
TXN_000160,CUST_00004,7207.04,card,DEV_02830,US,2026-03-06,failed,28
TXN_000161,CUST_00627,2323.35,netbanking,DEV_02618,GB,2026-07-27,success,50
TXN_000162,CUST_01990,3574.18,upi,DEV_01813,AE,2026-01-03,failed,24
TXN_000163,CUST_00999,2086.62,netbanking,DEV_01233,IN,2026-07-30,success,35
TXN_000164,CUST_01185,2157.48,netbanking,DEV_00862,US,2026-04-23,success,11
TXN_000165,CUST_01787,6222.1,wallet,DEV_00139,GB,2026-08-10,success,31
TXN_000166,CUST_00659,3720.06,wallet,DEV_01930,AE,2026-08-04,success,29
TXN_000167,CUST_00584,7931.88,wallet,DEV_00412,US,2026-06-28,success,33
TXN_000168,CUST_00510,9462.05,card,DEV_01442,AE,2026-06-04,success,34
TXN_000169,CUST_01261,4567.2,wallet,DEV_02848,IN,2026-07-15,success,17
TXN_000170,CUST_00300,1359.13,upi,DEV_02582,AE,2026-07-22,success,34
TXN_000171,CUST_01239,8100.44,card,DEV_01642,US,2026-06-10,success,37
TXN_000172,CUST_01148,6117.69,netbanking,DEV_02359,IN,2026-01-29,success,5
TXN_000173,CUST_00984,639.86,upi,DEV_02116,US,2026-08-05,failed,18
TXN_000174,CUST_00899,5890.03,netbanking,DEV_01850,AE,2026-08-12,success,18
TXN_000175,CUST_00212,5724.62,netbanking,DEV_00711,SG,2026-07-31,success,30
TXN_000176,CUST_00323,3469.38,netbanking,DEV_00814,IN,2026-04-17,success,31
TXN_000177,CUST_00169,7437.86,upi,DEV_01612,AE,2026-08-02,success,26
TXN_000178,CUST_00308,1955.92,card,DEV_00095,SG,2026-06-15,success,28
TXN_000179,CUST_00620,876.24,card,DEV_01895,US,2026-03-09,success,29
TXN_000180,CUST_01221,9492.07,card,DEV_01643,SG,2026-04-20,success,26
TXN_000181,CUST_00186,11089.63,upi,DEV_00365,GB,2026-02-13,success,45
TXN_000182,CUST_00454,2030.05,card,DEV_02944,SG,2026-04-22,failed,14
TXN_000183,CUST_01862,1008.76,wallet,DEV_00486,US,2026-07-02,success,10
TXN_000184,CUST_01041,9431.43,upi,DEV_01091,GB,2026-07-11,failed,45
TXN_000185,CUST_00269,1782.93,wallet,DEV_00534,AE,2026-08-08,success,27
TXN_000186,CUST_01081,6396.39,upi,DEV_01160,US,2026-04-18,success,20
TXN_000187,CUST_01958,8631.39,wallet,DEV_00598,IN,2026-03-16,success,13
TXN_000188,CUST_01219,7856.97,upi,DEV_02531,AE,2026-03-05,success,46
TXN_000189,CUST_01204,2219.85,wallet,DEV_00352,IN,2026-05-01,success,37
TXN_000190,CUST_01183,2163.96,netbanking,DEV_02839,AE,2026-06-25,success,26
TXN_000191,CUST_00999,1084.62,wallet,DEV_02902,AE,2026-07-08,success,35
TXN_000192,CUST_01181,6270.2,card,DEV_00391,SG,2026-01-16,success,47
TXN_000193,CUST_00506,2033.7,netbanking,DEV_00962,AE,2026-04-01,success,23
TXN_000194,CUST_00776,11636.06,card,DEV_01039,SG,2026-06-08,failed,32
TXN_000195,CUST_01643,4956.13,netbanking,DEV_01617,GB,2026-02-03,success,34
TXN_000196,CUST_00006,750.38,upi,DEV_01067,US,2026-05-09,failed,13
TXN_000197,CUST_00382,3535.21,netbanking,DEV_01918,US,2026-01-23,success,37
TXN_000198,CUST_00303,2369.86,wallet,DEV_00581,GB,2026-01-30,success,38
TXN_000199,CUST_01940,558.13,card,DEV_00524,AE,2026-08-12,success,10
TXN_000200,CUST_00205,2124.83,netbanking,DEV_01762,GB,2026-08-13,success,27
TXN_000201,CUST_01600,1174.61,netbanking,DEV_02118,GB,2026-04-22,success,50
TXN_000202,CUST_00304,11364.65,netbanking,DEV_02013,US,2026-05-23,failed,41
TXN_000203,CUST_01578,4083.57,card,DEV_00774,US,2026-01-14,success,21
TXN_000204,CUST_01297,4770.72,upi,DEV_00147,AE,2026-03-08,success,44
TXN_000205,CUST_00067,2946.61,wallet,DEV_01788,IN,2026-05-07,success,16
TXN_000206,CUST_00449,2786.99,wallet,DEV_01461,SG,2026-05-05,failed,39
TXN_000207,CUST_00470,4367.7,wallet,DEV_00461,US,2026-02-01,success,34
TXN_000208,CUST_01615,2450.42,card,DEV_00835,GB,2026-02-16,success,5
TXN_000209,CUST_01292,2100.69,netbanking,DEV_02308,SG,2026-02-24,success,21
TXN_000210,CUST_00455,2399.22,upi,DEV_01706,IN,2026-03-05,failed,15
TXN_000211,CUST_00431,4049.94,card,DEV_01347,IN,2026-03-14,success,33
TXN_000212,CUST_00930,4975.42,wallet,DEV_01531,SG,2026-01-28,success,11
TXN_000213,CUST_00554,3170.02,upi,DEV_00119,IN,2026-04-28,failed,41
TXN_000214,CUST_01229,18182.41,wallet,DEV_02574,GB,2026-06-02,success,25
TXN_000215,CUST_01587,1406.83,netbanking,DEV_00180,SG,2026-04-26,success,14
TXN_000216,CUST_00162,4936.06,upi,DEV_00866,IN,2026-07-25,success,49
TXN_000217,CUST_01909,1205.08,netbanking,DEV_00228,IN,2026-05-21,failed,7
TXN_000218,CUST_01152,3135.25,card,DEV_01634,GB,2026-02-15,success,26
TXN_000219,CUST_01012,2115.88,wallet,DEV_00366,IN,2026-08-07,success,5
TXN_000220,CUST_01242,12363.48,upi,DEV_01592,AE,2026-03-14,success,25
TXN_000221,CUST_00691,4161.44,card,DEV_01223,AE,2026-07-25,failed,20
TXN_000222,CUST_01706,2349.41,netbanking,DEV_02806,SG,2026-02-03,success,36
TXN_000223,CUST_00211,8687.15,card,DEV_01506,SG,2026-02-21,failed,36
TXN_000224,CUST_01782,5056.23,wallet,DEV_01590,AE,2026-03-10,failed,15
TXN_000225,CUST_01933,5084.73,card,DEV_01731,GB,2026-06-07,success,49
TXN_000226,CUST_01127,2437.71,wallet,DEV_02584,AE,2026-01-24,success,23
TXN_000227,CUST_01644,1595.78,netbanking,DEV_01899,US,2026-06-15,success,26
TXN_000228,CUST_01663,2577.39,wallet,DEV_02160,SG,2026-01-22,success,12
TXN_000229,CUST_00723,2332.69,wallet,DEV_01792,IN,2026-07-25,failed,11
TXN_000230,CUST_00312,1856.79,netbanking,DEV_00609,US,2026-06-25,success,19
TXN_000231,CUST_00475,1472.61,upi,DEV_02143,AE,2026-03-17,success,33
TXN_000232,CUST_00926,454.46,card,DEV_00185,SG,2026-01-28,failed,28
TXN_000233,CUST_00102,5024.42,wallet,DEV_00388,AE,2026-06-19,success,46
TXN_000234,CUST_01736,3338.38,netbanking,DEV_01044,SG,2026-01-21,success,47
TXN_000235,CUST_01908,668.32,card,DEV_02710,AE,2026-02-15,success,13
TXN_000236,CUST_01760,4898.4,wallet,DEV_00186,IN,2026-04-17,success,46
TXN_000237,CUST_01262,1541.64,netbanking,DEV_02406,AE,2026-07-13,failed,46
TXN_000238,CUST_00477,13590.83,netbanking,DEV_01399,US,2026-02-24,success,21
TXN_000239,CUST_00908,6328.87,card,DEV_02475,GB,2026-08-12,success,35
TXN_000240,CUST_01957,2303.33,wallet,DEV_02189,IN,2026-01-02,failed,16
TXN_000241,CUST_01327,32792.99,card,DEV_00055,US,2026-06-17,failed,47
TXN_000242,CUST_00707,6489.84,wallet,DEV_02834,AE,2026-08-11,failed,14
TXN_000243,CUST_00447,24903.09,netbanking,DEV_02534,SG,2026-04-03,failed,6
TXN_000244,CUST_00124,4353.68,netbanking,DEV_00359,US,2026-02-04,success,37
TXN_000245,CUST_00817,6811.68,upi,DEV_00459,IN,2026-06-28,success,11
TXN_000246,CUST_01711,15068.84,card,DEV_00858,AE,2026-06-16,success,12
TXN_000247,CUST_01996,7172.39,upi,DEV_01785,SG,2026-02-18,success,4
TXN_000248,CUST_00335,6903.37,netbanking,DEV_01899,US,2026-05-02,failed,9
TXN_000249,CUST_00967,14064.73,card,DEV_00478,US,2026-02-09,failed,46
TXN_000250,CUST_01773,16687.93,wallet,DEV_01932,IN,2026-08-09,failed,29
TXN_000251,CUST_00712,1741.71,upi,DEV_00825,GB,2026-05-26,failed,19
TXN_000252,CUST_01249,4264.32,card,DEV_01368,IN,2026-01-27,failed,33
TXN_000253,CUST_00657,2987.43,wallet,DEV_02031,SG,2026-06-02,success,35
TXN_000254,CUST_01953,5770.16,card,DEV_01997,AE,2026-05-05,failed,28
TXN_000255,CUST_00654,8537.75,upi,DEV_02926,IN,2026-05-16,success,15
TXN_000256,CUST_00550,5636.48,wallet,DEV_02361,GB,2026-05-22,success,11
TXN_000257,CUST_00350,4658.68,netbanking,DEV_02656,AE,2026-05-02,success,49
TXN_000258,CUST_01737,4223.26,wallet,DEV_02551,GB,2026-04-25,failed,12
TXN_000259,CUST_01549,10393.31,card,DEV_00661,GB,2026-07-05,success,34
TXN_000260,CUST_01012,5746.37,wallet,DEV_01409,AE,2026-03-01,success,5
TXN_000261,CUST_00320,5874.44,netbanking,DEV_02467,AE,2026-02-03,success,48
TXN_000262,CUST_01093,667.88,wallet,DEV_01708,GB,2026-07-23,failed,24
TXN_000263,CUST_01803,2549.79,upi,DEV_02548,US,2026-03-14,success,42
TXN_000264,CUST_00985,3335.67,wallet,DEV_00529,US,2026-02-21,success,40
TXN_000265,CUST_00025,8837.0,wallet,DEV_00414,AE,2026-05-07,success,21
TXN_000266,CUST_01602,2391.26,upi,DEV_00858,SG,2026-01-13,success,20
TXN_000267,CUST_00519,869.52,netbanking,DEV_01069,GB,2026-06-23,success,41
TXN_000268,CUST_01832,2295.69,upi,DEV_02063,IN,2026-07-26,success,3
TXN_000269,CUST_01497,7398.21,netbanking,DEV_01764,IN,2026-06-08,success,27
TXN_000270,CUST_00466,1984.4,card,DEV_02302,US,2026-05-05,success,34
TXN_000271,CUST_01463,5721.31,netbanking,DEV_01456,IN,2026-07-17,success,37
TXN_000272,CUST_01316,3683.41,upi,DEV_02827,SG,2026-06-04,success,40
TXN_000273,CUST_01891,9921.37,card,DEV_01794,AE,2026-08-04,success,35
TXN_000274,CUST_00673,2391.15,card,DEV_02501,SG,2026-07-20,success,9
TXN_000275,CUST_00020,6368.48,card,DEV_02078,IN,2026-02-12,success,24
TXN_000276,CUST_01858,3740.28,upi,DEV_01482,US,2026-07-06,success,17
TXN_000277,CUST_01008,2811.93,wallet,DEV_02073,AE,2026-07-07,success,40
TXN_000278,CUST_01522,539.35,upi,DEV_02651,GB,2026-03-27,success,31
TXN_000279,CUST_00138,6311.36,card,DEV_00827,AE,2026-04-17,success,33
TXN_000280,CUST_01623,2428.83,upi,DEV_01941,GB,2026-03-15,success,24
TXN_000281,CUST_01184,2018.91,card,DEV_01090,GB,2026-07-03,failed,25
TXN_000282,CUST_01678,1815.97,netbanking,DEV_02579,US,2026-02-08,failed,7
TXN_000283,CUST_01599,2552.62,upi,DEV_00566,AE,2026-04-16,failed,28
TXN_000284,CUST_01987,2719.64,wallet,DEV_02115,GB,2026-01-08,failed,20
TXN_000285,CUST_01454,6269.54,upi,DEV_00041,SG,2026-01-18,success,27
TXN_000286,CUST_00592,10177.39,netbanking,DEV_01290,AE,2026-07-17,success,40
TXN_000287,CUST_00223,2674.28,wallet,DEV_00252,AE,2026-07-14,success,29
TXN_000288,CUST_01725,7681.63,upi,DEV_02354,IN,2026-06-11,success,47
TXN_000289,CUST_01925,12508.05,wallet,DEV_01647,SG,2026-08-12,success,11
TXN_000290,CUST_00066,7245.93,netbanking,DEV_01410,IN,2026-07-31,success,28
TXN_000291,CUST_01023,11810.62,upi,DEV_02869,AE,2026-04-25,success,22
TXN_000292,CUST_01283,1986.16,wallet,DEV_02857,GB,2026-07-27,failed,5
TXN_000293,CUST_01512,1917.21,upi,DEV_01236,IN,2026-01-10,success,21
TXN_000294,CUST_00054,3111.78,wallet,DEV_02971,US,2026-05-14,success,38
TXN_000295,CUST_00131,7396.06,upi,DEV_00381,SG,2026-05-22,success,19
TXN_000296,CUST_01133,3257.21,netbanking,DEV_02604,US,2026-01-06,success,4
TXN_000297,CUST_01971,3425.56,netbanking,DEV_00989,GB,2026-07-05,failed,19
TXN_000298,CUST_00984,16681.87,card,DEV_02999,IN,2026-08-04,success,18
TXN_000299,CUST_00179,2393.83,netbanking,DEV_02569,SG,2026-04-01,success,2
TXN_000300,CUST_01801,2121.39,card,DEV_02667,IN,2026-04-25,success,20
TXN_000301,CUST_01423,1114.93,card,DEV_01857,GB,2026-03-02,success,16
TXN_000302,CUST_00990,7095.19,netbanking,DEV_01226,GB,2026-06-20,success,35
TXN_000303,CUST_00147,1632.4,wallet,DEV_02129,US,2026-01-27,success,36
TXN_000304,CUST_01121,5196.38,upi,DEV_01480,AE,2026-01-26,success,47
TXN_000305,CUST_01384,752.05,wallet,DEV_01688,IN,2026-01-24,success,15
TXN_000306,CUST_00258,2483.77,wallet,DEV_00533,AE,2026-02-24,failed,49
TXN_000307,CUST_00133,3118.43,card,DEV_01513,SG,2026-04-14,failed,48
TXN_000308,CUST_01355,1494.45,netbanking,DEV_02394,AE,2026-06-12,failed,46
TXN_000309,CUST_01059,1842.37,wallet,DEV_02823,AE,2026-07-07,failed,44
TXN_000310,CUST_00078,5318.18,upi,DEV_00592,SG,2026-02-02,failed,21
TXN_000311,CUST_00723,7877.4,wallet,DEV_00530,SG,2026-08-09,success,11
TXN_000312,CUST_00853,3294.72,upi,DEV_01866,AE,2026-01-09,success,16
TXN_000313,CUST_00984,2404.04,netbanking,DEV_00487,SG,2026-08-07,failed,18
TXN_000314,CUST_01842,1674.36,card,DEV_00496,GB,2026-05-27,success,45
TXN_000315,CUST_01545,2835.15,card,DEV_02142,US,2026-01-31,success,19
TXN_000316,CUST_00588,3099.75,netbanking,DEV_01534,GB,2026-03-17,failed,10
TXN_000317,CUST_01651,11061.85,card,DEV_00586,US,2026-07-20,failed,44
TXN_000318,CUST_01986,7698.05,card,DEV_01250,GB,2026-02-25,success,6
TXN_000319,CUST_01811,1583.43,wallet,DEV_00009,IN,2026-05-21,success,33
