amount,payment_method,device_id,ip_country,authentication_status,account_age_days,previous_transactions,successful_transactions,previous_chargebacks,previous_refunds,known_devices,average_order_value,product_category,product_value,transaction_hour,transaction_day_of_week,is_weekend,amount_to_avg_order_ratio,customer_success_rate,customer_chargeback_rate,customer_refund_rate,has_previous_chargeback,is_new_customer,chargeback_label
4328.23,wallet,DEV_01246,SG,success,307,49,45,1,4,1,6339.35,home,4328.23,0,1,0,0.6827561185295021,0.9183673469387755,0.02040816326530612,0.08163265306122448,1,0,0
1800.22,upi,DEV_01065,US,success,1365,35,25,0,3,1,2587.07,fashion,1800.22,0,0,0,0.6958528373797385,0.7142857142857143,0.0,0.08571428571428572,0,0,0
1906.82,netbanking,DEV_00194,US,success,883,12,4,0,4,3,2206.7,beauty,1906.82,0,2,0,0.8641047718312412,0.3333333333333333,0.0,0.3333333333333333,0,0,0
9009.84,wallet,DEV_00682,SG,success,1831,28,24,1,1,1,3520.76,fashion,9009.84,0,2,0,2.5590611118054056,0.8571428571428571,0.03571428571428571,0.03571428571428571,1,0,1
2272.3,upi,DEV_00719,US,success,827,50,49,0,2,1,2493.68,home,2272.3,0,2,0,0.9112235731930322,0.98,0.0,0.04,0,0,0
2329.02,card,DEV_00169,GB,success,179,46,41,0,0,2,5893.09,home,2329.02,0,3,0,0.39521201950080515,0.8913043478260869,0.0,0.0,0,0,1
9119.52,wallet,DEV_01067,GB,success,300,25,24,1,2,4,935.65,beauty,9119.52,0,1,0,9.746721530486829,0.96,0.04,0.08,1,0,0
6118.24,card,DEV_02727,GB,success,63,17,15,0,1,4,2538.47,fashion,6118.24,0,0,0,2.4102077235500126,0.8823529411764706,0.0,0.058823529411764705,0,0,0
5615.29,netbanking,DEV_01837,SG,success,1993,3,2,0,0,4,2091.89,fashion,5615.29,0,2,0,2.6843141847802707,0.6666666666666666,0.0,0.0,0,0,0
8899.77,card,DEV_00103,AE,success,716,18,12,1,1,1,4003.5,beauty,8899.77,0,4,0,2.2229973772948672,0.6666666666666666,0.05555555555555555,0.05555555555555555,1,0,0
3636.46,wallet,DEV_01312,US,success,1179,49,49,0,2,1,6127.91,software,3636.46,0,4,0,0.5934258172851755,1.0,0.0,0.04081632653061224,0,0,1
21023.18,netbanking,DEV_01942,GB,success,232,3,3,2,1,4,2076.02,fashion,21023.18,0,0,0,10.12667508020154,1.0,0.6666666666666666,0.3333333333333333,1,0,0
3507.13,wallet,DEV_01388,IN,failed,1867,24,14,0,0,3,2293.48,home,3507.13,0,1,0,1.5291740063135497,0.5833333333333334,0.0,0.0,0,0,0
4157.9,card,DEV_00572,SG,success,1745,32,28,0,1,4,7889.07,software,4157.9,0,4,0,0.5270456466985335,0.875,0.0,0.03125,0,0,0
9740.28,card,DEV_01646,SG,success,1615,10,9,0,4,1,5276.49,home,9740.28,0,1,0,1.8459771552679909,0.9,0.0,0.4,0,0,0
8598.41,wallet,DEV_01464,IN,success,451,35,31,1,4,1,1516.18,grocery,8598.41,0,2,0,5.671101056602778,0.8857142857142857,0.02857142857142857,0.11428571428571428,1,0,0
1476.16,upi,DEV_02390,SG,success,1656,17,15,0,1,1,2312.42,electronics,1476.16,0,3,0,0.6383615433182553,0.8823529411764706,0.0,0.058823529411764705,0,0,0
2585.51,upi,DEV_00093,IN,failed,1251,5,3,0,1,4,1006.8,beauty,2585.51,0,0,0,2.5680472785061585,0.6,0.0,0.2,0,0,0
2123.7,card,DEV_02097,AE,failed,729,23,23,0,1,3,7450.99,fashion,2123.7,0,3,0,0.28502252720779386,1.0,0.0,0.043478260869565216,0,0,0
8148.57,netbanking,DEV_02471,SG,success,897,45,41,0,1,1,8257.74,grocery,8148.57,0,0,0,0.9867796757950722,0.9111111111111111,0.0,0.022222222222222223,0,0,0
2586.76,netbanking,DEV_01629,US,failed,948,50,45,0,1,1,9594.38,home,2586.76,0,4,0,0.2696120020261862,0.9,0.0,0.02,0,0,1
3257.73,netbanking,DEV_01582,GB,success,242,27,26,0,1,4,3407.18,electronics,3257.73,0,6,1,0.9561367465176481,0.9629629629629629,0.0,0.037037037037037035,0,0,0
6842.8,netbanking,DEV_01440,GB,success,260,16,13,0,0,1,3464.69,grocery,6842.8,0,5,1,1.9750107513226292,0.8125,0.0,0.0,0,0,0
3372.22,upi,DEV_02982,AE,failed,1159,7,2,0,3,1,6402.68,software,3372.22,0,3,0,0.5266888240549269,0.2857142857142857,0.0,0.42857142857142855,0,0,0
5323.74,wallet,DEV_01183,US,failed,965,36,28,1,3,4,4217.41,fashion,5323.74,0,6,1,1.2623245072212566,0.7777777777777778,0.027777777777777776,0.08333333333333333,1,0,0
5216.87,wallet,DEV_00572,SG,success,272,14,14,0,0,4,3297.82,software,5216.87,0,2,0,1.5819147194207082,1.0,0.0,0.0,0,0,0
14561.34,upi,DEV_00852,GB,success,1827,35,33,0,2,1,6551.52,grocery,14561.34,0,5,1,2.222589567001245,0.9428571428571428,0.0,0.05714285714285714,0,0,0
2206.63,card,DEV_02420,AE,success,886,39,31,0,5,4,506.45,grocery,2206.63,0,4,0,4.357054003356699,0.7948717948717948,0.0,0.1282051282051282,0,0,0
4994.41,wallet,DEV_02617,GB,success,1905,8,6,0,2,3,3836.35,beauty,4994.41,0,4,0,1.301865054022704,0.75,0.0,0.25,0,0,0
35518.74,wallet,DEV_02910,SG,success,1410,3,2,0,2,2,553.6,travel,35518.74,0,0,0,64.15957369942195,0.6666666666666666,0.0,0.6666666666666666,0,0,0
2884.82,upi,DEV_00762,AE,failed,1402,18,18,0,1,1,1104.2,home,2884.82,0,0,0,2.6125882992211555,1.0,0.0,0.05555555555555555,0,0,0
7232.85,card,DEV_01237,SG,failed,1090,1,0,0,3,1,3626.94,fashion,7232.85,0,3,0,1.9942017237671426,0.0,0.0,3.0,0,0,0
2762.9,wallet,DEV_00920,IN,success,1615,46,42,0,2,2,1184.08,travel,2762.9,0,2,0,2.333372745084792,0.9130434782608695,0.0,0.043478260869565216,0,0,1
4041.71,upi,DEV_01076,GB,failed,1881,21,18,0,2,1,975.65,travel,4041.71,0,5,1,4.142581868497925,0.8571428571428571,0.0,0.09523809523809523,0,0,0
3683.13,card,DEV_02679,GB,success,1379,29,24,1,2,2,7205.46,electronics,3683.13,0,4,0,0.5111582050278539,0.8275862068965517,0.034482758620689655,0.06896551724137931,1,0,0
915.16,wallet,DEV_02818,US,success,1355,19,16,0,1,4,13412.44,home,915.16,0,3,0,0.0682321784850482,0.8421052631578947,0.0,0.05263157894736842,0,0,0
548.43,netbanking,DEV_02020,IN,success,782,34,28,1,2,1,9413.23,grocery,548.43,0,2,0,0.05826161689451973,0.8235294117647058,0.029411764705882353,0.058823529411764705,1,0,0
6998.93,wallet,DEV_02317,AE,success,999,8,4,0,0,4,6929.67,fashion,6998.93,0,1,0,1.0099947039325106,0.5,0.0,0.0,0,0,0
10732.28,wallet,DEV_02844,IN,success,1925,41,39,2,2,2,2098.06,fashion,10732.28,0,0,0,5.115335119110036,0.9512195121951219,0.04878048780487805,0.04878048780487805,1,0,0
2495.77,netbanking,DEV_00668,SG,success,1229,19,16,0,3,1,3825.24,fashion,2495.77,0,3,0,0.6524479509782393,0.8421052631578947,0.0,0.15789473684210525,0,0,0
3709.28,netbanking,DEV_01889,US,success,1465,24,21,1,2,1,2001.56,software,3709.28,0,3,0,1.853194508283539,0.875,0.041666666666666664,0.08333333333333333,1,0,0
4826.11,card,DEV_01117,GB,success,130,48,45,1,1,3,1749.35,beauty,4826.11,0,5,1,2.7588018406836823,0.9375,0.020833333333333332,0.020833333333333332,1,0,0
18200.98,card,DEV_01188,GB,success,736,2,1,0,4,1,3746.72,beauty,18200.98,0,5,1,4.857843660588461,0.5,0.0,2.0,0,0,0
5043.15,upi,DEV_02573,US,success,762,29,28,0,1,3,4600.03,home,5043.15,0,2,0,1.09632980654474,0.9655172413793104,0.0,0.034482758620689655,0,0,0
1512.88,upi,DEV_02228,GB,success,1875,36,26,1,0,1,4053.78,beauty,1512.88,0,2,0,0.37320229514181824,0.7222222222222222,0.027777777777777776,0.0,1,0,0
3649.34,netbanking,DEV_01112,GB,success,1130,26,24,0,0,2,2580.91,home,3649.34,0,6,1,1.4139741409037898,0.9230769230769231,0.0,0.0,0,0,0
3767.02,upi,DEV_00053,US,success,353,29,25,0,4,4,26289.98,home,3767.02,0,2,0,0.14328729044297486,0.8620689655172413,0.0,0.13793103448275862,0,0,0
5446.95,netbanking,DEV_01987,AE,success,229,29,26,1,2,3,5651.3,home,5446.95,0,6,1,0.9638401783660396,0.896551724137931,0.034482758620689655,0.06896551724137931,1,0,0
1705.78,card,DEV_00893,US,success,1101,29,25,0,1,2,2717.9,travel,1705.78,0,5,1,0.6276095514919606,0.8620689655172413,0.0,0.034482758620689655,0,0,0
2300.01,upi,DEV_02289,SG,success,175,15,11,0,3,1,3143.31,home,2300.01,0,4,0,0.7317159300228104,0.7333333333333333,0.0,0.2,0,0,0
2192.72,wallet,DEV_01887,IN,success,1896,41,41,0,1,3,2839.14,electronics,2192.72,0,4,0,0.7723183781004107,1.0,0.0,0.024390243902439025,0,0,0
1589.86,card,DEV_01965,GB,success,597,10,2,1,4,3,3745.81,grocery,1589.86,0,5,1,0.4244369041675899,0.2,0.1,0.4,1,0,0
2229.95,upi,DEV_01811,SG,success,1614,41,40,0,1,3,22987.86,home,2229.95,0,3,0,0.09700554988589628,0.975609756097561,0.0,0.024390243902439025,0,0,1
11207.81,upi,DEV_02908,GB,success,590,26,21,2,1,3,4345.54,home,11207.81,0,3,0,2.5791524183415637,0.8076923076923077,0.07692307692307693,0.038461538461538464,1,0,1
16274.14,upi,DEV_00528,US,success,930,30,24,3,0,2,1344.77,fashion,16274.14,0,4,0,12.101801795102508,0.8,0.1,0.0,1,0,0
947.44,netbanking,DEV_00514,US,success,541,10,5,0,2,2,2993.95,electronics,947.44,0,1,0,0.31645151054626836,0.5,0.0,0.2,0,0,0
3248.82,wallet,DEV_02830,IN,success,977,38,36,0,0,1,1772.72,fashion,3248.82,0,1,0,1.8326752109752247,0.9473684210526315,0.0,0.0,0,0,1
8708.01,wallet,DEV_01767,IN,success,1710,15,8,1,1,1,1492.85,travel,8708.01,0,4,0,5.833144656194528,0.5333333333333333,0.06666666666666667,0.06666666666666667,1,0,0
1156.41,card,DEV_02703,SG,success,1781,15,6,0,0,4,5901.03,beauty,1156.41,0,0,0,0.19596748364268612,0.4,0.0,0.0,0,0,0
23478.32,wallet,DEV_00488,GB,success,413,36,30,0,1,2,4910.94,home,23478.32,0,0,0,4.780819965220508,0.8333333333333334,0.0,0.027777777777777776,0,0,0
4376.18,netbanking,DEV_02735,IN,success,31,28,21,0,2,2,1051.11,home,4376.18,0,0,0,4.1633891790583295,0.75,0.0,0.07142857142857142,0,0,0
18234.86,card,DEV_02465,US,success,33,40,35,0,1,2,1739.93,beauty,18234.86,0,6,1,10.480226215997195,0.875,0.0,0.025,0,0,0
600.83,upi,DEV_02747,GB,success,1638,32,26,0,1,3,3953.25,grocery,600.83,0,3,0,0.1519838107885917,0.8125,0.0,0.03125,0,0,0
2795.91,upi,DEV_01137,SG,success,1107,30,20,1,2,2,5070.78,electronics,2795.91,0,1,0,0.5513767112751884,0.6666666666666666,0.03333333333333333,0.06666666666666667,1,0,0
9598.44,upi,DEV_02051,SG,success,1896,34,29,0,1,4,3045.81,travel,9598.44,0,1,0,3.1513587518591115,0.8529411764705882,0.0,0.029411764705882353,0,0,0
8243.88,card,DEV_02369,IN,success,1178,46,39,0,0,2,6622.15,travel,8243.88,0,5,1,1.2448947849263456,0.8478260869565217,0.0,0.0,0,0,0
6793.29,upi,DEV_01155,US,success,1171,36,26,1,4,1,2458.3,beauty,6793.29,0,0,0,2.763409673351503,0.7222222222222222,0.027777777777777776,0.1111111111111111,1,0,1
2603.13,card,DEV_00877,SG,failed,1905,8,6,0,2,3,3836.35,grocery,2603.13,0,3,0,0.6785434071448122,0.75,0.0,0.25,0,0,0
5477.25,netbanking,DEV_02860,SG,failed,414,29,22,0,0,4,8498.94,travel,5477.25,0,1,0,0.6444627212334715,0.7586206896551724,0.0,0.0,0,0,1
3004.93,card,DEV_00741,GB,failed,876,4,1,0,3,2,4657.0,home,3004.93,0,2,0,0.6452501610478849,0.25,0.0,0.75,0,0,0
1356.72,upi,DEV_02107,US,success,343,24,16,0,0,1,1807.96,travel,1356.72,0,2,0,0.7504148321865528,0.6666666666666666,0.0,0.0,0,0,0
1817.59,netbanking,DEV_00507,AE,success,1211,37,37,0,0,2,1966.39,beauty,1817.59,0,3,0,0.9243283377153056,1.0,0.0,0.0,0,0,0
5865.87,wallet,DEV_01480,GB,success,1635,27,17,0,2,3,1716.85,electronics,5865.87,0,5,1,3.4166467658793724,0.6296296296296297,0.0,0.07407407407407407,0,0,0
4615.99,card,DEV_01344,AE,failed,1829,47,38,0,2,3,2594.27,fashion,4615.99,0,4,0,1.7793020772702917,0.8085106382978723,0.0,0.0425531914893617,0,0,1
1168.57,netbanking,DEV_01872,SG,success,1213,32,25,0,1,3,6094.47,home,1168.57,0,2,0,0.19174267819843233,0.78125,0.0,0.03125,0,0,0
3017.4,wallet,DEV_00926,SG,success,112,15,12,1,1,2,1372.41,beauty,3017.4,0,2,0,2.1986141167726845,0.8,0.06666666666666667,0.06666666666666667,1,0,0
1862.87,wallet,DEV_00774,IN,failed,1432,21,11,1,3,2,2265.44,travel,1862.87,0,1,0,0.8222994208630552,0.5238095238095238,0.047619047619047616,0.14285714285714285,1,0,0
1026.72,netbanking,DEV_00735,IN,failed,974,50,50,0,2,2,5979.0,beauty,1026.72,0,0,0,0.17172102358253888,1.0,0.0,0.04,0,0,0
5288.77,card,DEV_01624,AE,success,56,14,14,0,4,4,3161.7,home,5288.77,0,3,0,1.6727614890723348,1.0,0.0,0.2857142857142857,0,0,0
11426.85,card,DEV_00588,AE,success,1438,21,18,1,2,2,2801.8,travel,11426.85,0,0,0,4.07839603112285,0.8571428571428571,0.047619047619047616,0.09523809523809523,1,0,0
5873.8,upi,DEV_00266,GB,success,214,10,0,1,1,4,1605.83,fashion,5873.8,0,4,0,3.6577969025363832,0.0,0.1,0.1,1,0,0
7429.95,upi,DEV_02437,AE,success,1659,35,31,0,1,2,3117.91,home,7429.95,0,6,1,2.3829905289119955,0.8857142857142857,0.0,0.02857142857142857,0,0,0
1680.77,wallet,DEV_02971,AE,success,1729,42,39,1,0,1,3905.65,electronics,1680.77,0,4,0,0.4303432207187024,0.9285714285714286,0.023809523809523808,0.0,1,0,0
2941.66,wallet,DEV_01459,AE,failed,183,38,37,0,0,1,1650.02,beauty,2941.66,0,5,1,1.7828026326953612,0.9736842105263158,0.0,0.0,0,0,0
5330.48,wallet,DEV_02095,GB,failed,1595,1,1,0,2,2,5412.82,electronics,5330.48,0,5,1,0.9847879663465624,1.0,0.0,2.0,0,0,0
10017.16,card,DEV_00501,GB,failed,923,26,17,0,2,2,2309.72,fashion,10017.16,0,2,0,4.336958592383493,0.6538461538461539,0.0,0.07692307692307693,0,0,1
2737.49,upi,DEV_02574,US,success,1513,38,36,1,4,3,4004.52,software,2737.49,0,3,0,0.6836000319638807,0.9473684210526315,0.02631578947368421,0.10526315789473684,1,0,0
1999.19,card,DEV_00280,AE,success,219,41,37,0,2,3,6262.36,software,1999.19,0,1,0,0.3192390728096117,0.9024390243902439,0.0,0.04878048780487805,0,0,0
5348.31,upi,DEV_01568,SG,success,1212,44,39,0,1,3,1230.03,grocery,5348.31,0,1,0,4.348113460647301,0.8863636363636364,0.0,0.022727272727272728,0,0,0
1479.8,upi,DEV_01241,SG,success,1495,17,8,0,1,1,1350.21,home,1479.8,0,1,0,1.095977662733945,0.47058823529411764,0.0,0.058823529411764705,0,0,0
5932.47,card,DEV_02708,SG,failed,1142,31,23,0,3,2,1942.57,fashion,5932.47,0,3,0,3.0539285585590226,0.7419354838709677,0.0,0.0967741935483871,0,0,0
3599.78,wallet,DEV_00828,GB,failed,1799,41,36,1,4,2,2648.7,home,3599.78,0,4,0,1.3590742628459245,0.8780487804878049,0.024390243902439025,0.0975609756097561,1,0,0
2729.94,wallet,DEV_02068,GB,success,120,1,1,0,0,2,8768.84,grocery,2729.94,0,1,0,0.31132282035024017,1.0,0.0,0.0,0,0,0
6041.62,card,DEV_00130,AE,success,595,50,46,0,1,3,2359.58,home,6041.62,0,4,0,2.5604641503996475,0.92,0.0,0.02,0,0,0
7459.32,wallet,DEV_01844,GB,failed,1202,45,36,0,3,2,5256.61,travel,7459.32,0,4,0,1.4190362229649909,0.8,0.0,0.06666666666666667,0,0,0
8473.71,wallet,DEV_01883,IN,success,260,43,39,0,2,4,3920.0,electronics,8473.71,0,4,0,2.161660714285714,0.9069767441860465,0.0,0.046511627906976744,0,0,0
1124.0,netbanking,DEV_02893,US,failed,1435,41,41,1,2,1,2382.23,grocery,1124.0,0,2,0,0.4718268177296063,1.0,0.024390243902439025,0.04878048780487805,1,0,1
3345.18,upi,DEV_01280,AE,success,120,1,1,0,0,2,8768.84,beauty,3345.18,0,1,0,0.3814848942391468,1.0,0.0,0.0,0,0,0
8558.02,wallet,DEV_02704,SG,failed,1864,50,44,0,1,1,2433.23,fashion,8558.02,0,3,0,3.5171438787126577,0.88,0.0,0.02,0,0,0
5289.67,wallet,DEV_02303,US,success,962,48,47,0,1,3,6044.89,home,5289.67,0,6,1,0.875064724089272,0.9791666666666666,0.0,0.020833333333333332,0,0,0
5516.77,wallet,DEV_01079,AE,failed,1946,16,6,0,2,3,6475.86,grocery,5516.77,0,0,0,0.851897663013098,0.375,0.0,0.125,0,0,0
3352.92,netbanking,DEV_01166,GB,success,1511,47,38,1,1,3,8095.91,fashion,3352.92,0,4,0,0.41414986085566663,0.8085106382978723,0.02127659574468085,0.02127659574468085,1,0,0
5437.98,card,DEV_00526,GB,success,1462,19,9,0,1,4,3291.84,software,5437.98,0,1,0,1.6519575678040244,0.47368421052631576,0.0,0.05263157894736842,0,0,0
9890.12,netbanking,DEV_01559,IN,success,130,48,45,1,1,3,1749.35,beauty,9890.12,0,0,0,5.653597050332982,0.9375,0.020833333333333332,0.020833333333333332,1,0,0
20878.81,netbanking,DEV_01688,GB,success,210,28,19,0,0,2,11582.5,electronics,20878.81,0,3,0,1.8026168789121522,0.6785714285714286,0.0,0.0,0,0,0
8243.4,upi,DEV_00962,GB,success,1741,25,22,0,3,4,17752.95,beauty,8243.4,0,0,0,0.46433972945341473,0.88,0.0,0.12,0,0,0
1752.44,card,DEV_01249,IN,success,800,27,24,0,4,3,4598.14,fashion,1752.44,0,5,1,0.38111932216069977,0.8888888888888888,0.0,0.14814814814814814,0,0,1
6444.69,card,DEV_02206,GB,failed,668,22,19,1,2,2,3419.64,electronics,6444.69,0,5,1,1.8846106607713091,0.8636363636363636,0.045454545454545456,0.09090909090909091,1,0,0
2063.29,wallet,DEV_02327,SG,success,1927,49,42,0,2,2,3110.78,software,2063.29,0,5,1,0.6632709481223358,0.8571428571428571,0.0,0.04081632653061224,0,0,1
7503.48,card,DEV_02851,AE,success,786,19,11,1,3,4,2758.24,software,7503.48,0,6,1,2.7203869133940484,0.5789473684210527,0.05263157894736842,0.15789473684210525,1,0,0
5966.44,netbanking,DEV_01548,SG,success,537,21,17,0,1,2,11475.14,travel,5966.44,0,4,0,0.5199448547032978,0.8095238095238095,0.0,0.047619047619047616,0,0,0
3362.04,card,DEV_02001,IN,success,1487,48,46,0,3,2,2935.33,travel,3362.04,0,4,0,1.1453703672159519,0.9583333333333334,0.0,0.0625,0,0,0
1828.06,netbanking,DEV_02035,SG,success,846,9,5,1,2,1,4096.66,fashion,1828.06,0,0,0,0.4462318083511934,0.5555555555555556,0.1111111111111111,0.2222222222222222,1,0,0
7286.52,upi,DEV_02519,GB,failed,1067,36,31,0,0,1,9150.36,grocery,7286.52,0,5,1,0.7963096533906863,0.8611111111111112,0.0,0.0,0,0,1
1073.97,upi,DEV_02036,IN,success,335,6,6,0,1,1,3879.87,travel,1073.97,0,1,0,0.27680566616922736,1.0,0.0,0.16666666666666666,0,0,0
1500.41,netbanking,DEV_01087,IN,failed,1748,2,2,0,0,2,9268.47,fashion,1500.41,0,2,0,0.16188324502318077,1.0,0.0,0.0,0,0,0
2383.37,upi,DEV_02559,IN,success,1012,23,21,0,1,3,1558.58,grocery,2383.37,0,4,0,1.5291932400005133,0.9130434782608695,0.0,0.043478260869565216,0,0,0
1504.71,netbanking,DEV_01120,IN,failed,105,48,40,1,2,4,2020.9,beauty,1504.71,0,1,0,0.7445741996140334,0.8333333333333334,0.020833333333333332,0.041666666666666664,1,0,0
7730.03,wallet,DEV_00860,GB,success,1458,34,30,1,0,2,1933.87,fashion,7730.03,0,3,0,3.9971818167715516,0.8823529411764706,0.029411764705882353,0.0,1,0,1
695.92,netbanking,DEV_02068,GB,success,1037,4,1,0,2,3,4481.89,electronics,695.92,0,1,0,0.1552737795885218,0.25,0.0,0.5,0,0,0
3467.32,upi,DEV_01698,AE,failed,418,37,29,0,2,3,2363.87,fashion,3467.32,0,4,0,1.4667980895734538,0.7837837837837838,0.0,0.05405405405405406,0,0,0
3271.86,upi,DEV_00077,SG,success,1999,29,26,0,2,4,7419.1,software,3271.86,0,6,1,0.4410049736490949,0.896551724137931,0.0,0.06896551724137931,0,0,0
1120.49,wallet,DEV_00873,AE,failed,1566,11,5,1,2,3,3387.26,software,1120.49,0,1,0,0.3307953921458642,0.45454545454545453,0.09090909090909091,0.18181818181818182,1,0,0
2840.81,card,DEV_02140,US,failed,692,44,43,0,2,1,1456.4,grocery,2840.81,0,5,1,1.9505698983795658,0.9772727272727273,0.0,0.045454545454545456,0,0,0
1661.78,upi,DEV_00985,US,success,763,46,42,1,1,3,1039.29,travel,1661.78,0,5,1,1.5989569802461296,0.9130434782608695,0.021739130434782608,0.021739130434782608,1,0,0
3969.9,wallet,DEV_01681,GB,success,1177,41,34,0,1,1,9275.7,home,3969.9,0,6,1,0.4279892622659206,0.8292682926829268,0.0,0.024390243902439025,0,0,0
1446.08,upi,DEV_01690,GB,success,1722,10,9,1,2,1,6838.35,grocery,1446.08,0,3,0,0.21146621626561962,0.9,0.1,0.2,1,0,0
2372.54,upi,DEV_01051,SG,failed,692,46,40,2,2,3,1189.72,travel,2372.54,0,0,0,1.994200316040749,0.8695652173913043,0.043478260869565216,0.043478260869565216,1,0,1
1951.76,upi,DEV_00466,US,success,1745,32,28,0,1,4,7889.07,travel,1951.76,0,3,0,0.2474005174247408,0.875,0.0,0.03125,0,0,0
1619.64,upi,DEV_01272,AE,failed,1301,48,40,0,0,2,2056.62,travel,1619.64,0,1,0,0.7875251626455059,0.8333333333333334,0.0,0.0,0,0,0
482.35,wallet,DEV_02650,IN,success,74,5,1,0,0,4,1918.08,software,482.35,0,5,1,0.25147543376710046,0.2,0.0,0.0,0,0,0
3834.78,netbanking,DEV_00559,IN,success,122,28,23,0,0,1,25421.81,beauty,3834.78,0,6,1,0.15084606485533486,0.8214285714285714,0.0,0.0,0,0,0
4185.77,upi,DEV_02640,IN,failed,161,17,10,0,0,3,725.18,software,4185.77,0,5,1,5.772042803166111,0.5882352941176471,0.0,0.0,0,0,0
2631.81,card,DEV_00227,IN,success,1185,14,11,1,1,3,2336.46,beauty,2631.81,0,6,1,1.1264091831231864,0.7857142857142857,0.07142857142857142,0.07142857142857142,1,0,0
4100.62,card,DEV_01668,GB,success,1081,4,2,0,0,3,3251.43,home,4100.62,0,6,1,1.2611743140710396,0.5,0.0,0.0,0,0,0
14407.13,wallet,DEV_02967,US,success,1019,32,23,0,1,4,2390.74,grocery,14407.13,0,0,0,6.02622200657537,0.71875,0.0,0.03125,0,0,0
4460.08,card,DEV_02138,SG,success,1741,25,22,0,3,4,17752.95,fashion,4460.08,0,5,1,0.25123035889809864,0.88,0.0,0.12,0,0,1
674.14,wallet,DEV_00370,US,success,1341,35,33,0,0,2,5246.01,electronics,674.14,0,2,0,0.12850528306274672,0.9428571428571428,0.0,0.0,0,0,1
1100.87,netbanking,DEV_01349,SG,failed,81,12,9,0,3,2,5006.69,fashion,1100.87,0,2,0,0.21987980082649414,0.75,0.0,0.25,0,0,0
8301.83,upi,DEV_01733,US,success,1604,9,6,0,0,3,5722.15,software,8301.83,0,4,0,1.4508235540836925,0.6666666666666666,0.0,0.0,0,0,0
4545.47,upi,DEV_00877,GB,failed,690,16,7,0,1,3,3157.7,fashion,4545.47,0,3,0,1.4394876017354405,0.4375,0.0,0.0625,0,0,0
1701.48,netbanking,DEV_02415,IN,success,1691,9,1,1,4,4,1679.95,travel,1701.48,0,2,0,1.0128158576148099,0.1111111111111111,0.1111111111111111,0.4444444444444444,1,0,0
6101.16,card,DEV_01297,SG,failed,1020,47,46,1,2,3,2455.73,home,6101.16,0,6,1,2.48445879636605,0.9787234042553191,0.02127659574468085,0.0425531914893617,1,0,0
2051.32,upi,DEV_01138,US,failed,1096,50,50,0,1,3,1297.28,travel,2051.32,0,4,0,1.5812469166255552,1.0,0.0,0.02,0,0,0
